No,Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link,Accession
0,ACE2,Angiotensin Converting Enzyme 2,Protein Coding,49,GC0XM015494,27.43501472,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE2,Q9BYF1
1,TMPRSS2,Transmembrane Serine Protease 2,Protein Coding,45,GC21M041464,17.37986374,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMPRSS2,O15393
2,IL6,Interleukin 6,Protein Coding,50,GC07P022725,16.53561401,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6,P05231
3,NRP1,Neuropilin 1,Protein Coding,47,GC10M033177,12.53610229,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRP1,O14786
4,DPP4,Dipeptidyl Peptidase 4,Protein Coding,50,GC02M161992,12.44591141,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPP4,P27487
5,TNF,Tumor Necrosis Factor,Protein Coding,51,GC06P055202,12.21362686,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF,P01375
6,ACE,Angiotensin I Converting Enzyme,Protein Coding,50,GC17P063477,12.1475687,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE,P12821
7,TLR4,Toll Like Receptor 4,Protein Coding,51,GC09P117704,11.92896748,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR4,O00206
8,TNNI3,"Troponin I3, Cardiac Type",Protein Coding,50,GC19M055151,11.43366623,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNNI3,P19429
9,IFNA2,Interferon Alpha 2,Protein Coding,41,GC09M021384,11.27976608,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA2,P01563
10,IL1B,Interleukin 1 Beta,Protein Coding,49,GC02M112829,10.98858452,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B,P01584
11,IL2RA,Interleukin 2 Receptor Subunit Alpha,Protein Coding,51,GC10M006010,10.91618156,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RA,P01589
12,IL4,Interleukin 4,Protein Coding,46,GC05P132673,10.67015362,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL4,P05112
13,NPPB,Natriuretic Peptide B,Protein Coding,44,GC01M011858,10.52538204,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPPB,P16860
14,F3,"Coagulation Factor III, Tissue Factor",Protein Coding,45,GC01M094530,10.37068176,https://www.genecards.org/cgi-bin/carddisp.pl?gene=F3,P13726
15,CCL2,C-C Motif Chemokine Ligand 2,Protein Coding,49,GC17P034255,10.34265518,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2,P13500
16,CXCL10,C-X-C Motif Chemokine Ligand 10,Protein Coding,45,GC04M076021,10.14870167,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL10,P02778
17,EGFR,Epidermal Growth Factor Receptor,Protein Coding,54,GC07P055019,9.887582779,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR,P00533
18,IFNB1,Interferon Beta 1,Protein Coding,42,GC09M021077,9.118461609,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNB1,P01574
19,JAK1,Janus Kinase 1,Protein Coding,54,GC01M064833,8.967391968,https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK1,P23458
20,ADAM17,ADAM Metallopeptidase Domain 17,Protein Coding,51,GC02M009488,8.923862457,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM17,P78536
21,VWF,Von Willebrand Factor,Protein Coding,49,GC12M005917,8.723748207,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VWF,P04275
22,IFIH1,Interferon Induced With Helicase C Domain 1,Protein Coding,48,GC02M162267,8.646342278,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFIH1,Q9BYX4
23,NLRP3,NLR Family Pyrin Domain Containing 3,Protein Coding,48,GC01P247415,8.536370277,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLRP3,Q96P20
24,CXCL8,C-X-C Motif Chemokine Ligand 8,Protein Coding,42,GC04P073740,8.491681099,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8,P10145
25,STAT1,Signal Transducer And Activator Of Transcription 1,Protein Coding,54,GC02M190908,8.477080345,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT1,P42224
26,IFNA1,Interferon Alpha 1,Protein Coding,40,GC09P021522,8.389679909,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA1,P01562
27,CSF2,Colony Stimulating Factor 2,Protein Coding,44,GC05P132073,8.237229347,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF2,P04141
28,INS,Insulin,Protein Coding,48,GC11M002159,7.093952656,https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS,P01308
29,HLA-A,"Major Histocompatibility Complex, Class I, A",Protein Coding,48,GC06P055161,6.900705338,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-A,P04439
30,CRP,C-Reactive Protein,Protein Coding,47,GC01M159719,6.66313839,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRP,P02741
31,ABO,"ABO, Alpha 1-3-N-Acetylgalactosaminyltransferase And Alpha 1-3-Galactosyltransferase",Protein Coding,38,GC09M133250,5.684999466,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABO,P16442
32,IFNAR2,Interferon Alpha And Beta Receptor Subunit 2,Protein Coding,49,GC21P033229,5.498843193,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNAR2,P48551
33,TNFRSF1A,TNF Receptor Superfamily Member 1A,Protein Coding,50,GC12M006328,5.459189892,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF1A,P19438
34,IL10,Interleukin 10,Protein Coding,48,GC01M206767,5.158770084,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10,P22301
35,PMS2,"PMS1 Homolog 2, Mismatch Repair System Component",Protein Coding,49,GC07M005973,5.153885365,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMS2,P54278
36,CHAT,Choline O-Acetyltransferase,Protein Coding,48,GC10P049609,5.153885365,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHAT,P28329
37,MTM1,Myotubularin 1,Protein Coding,45,GC0XP150562,5.153885365,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTM1,Q13496
38,CLCN6,Chloride Voltage-Gated Channel 6,Protein Coding,43,GC01P011806,5.153885365,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLCN6,P51797
39,INPP5E,Inositol Polyphosphate-5-Phosphatase E,Protein Coding,42,GC09M136428,5.153885365,https://www.genecards.org/cgi-bin/carddisp.pl?gene=INPP5E,Q9NRR6
40,SLC6A20,Solute Carrier Family 6 Member 20,Protein Coding,42,GC03M045755,5.139719963,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A20,Q9NP91
41,HLA-C,"Major Histocompatibility Complex, Class I, C",Protein Coding,45,GC06M046831,5.06342411,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-C,P10321
43,CXCR6,C-X-C Motif Chemokine Receptor 6,Protein Coding,41,GC03P045982,4.542029381,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR6,O00574
44,FURIN,"Furin, Paired Basic Amino Acid Cleaving Enzyme",Protein Coding,47,GC15P090868,4.519402981,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FURIN,P09958
45,MUC1,"Mucin 1, Cell Surface Associated",Protein Coding,47,GC01M155185,4.516753197,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC1,P15941
46,TNFRSF1B,TNF Receptor Superfamily Member 1B,Protein Coding,48,GC01P012167,4.455911636,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF1B,P20333
47,TBK1,TANK Binding Kinase 1,Protein Coding,50,GC12P064451,4.439072132,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBK1,Q9UHD2
