Compounds,ProteinList,Probability,Total
Casuarinin,PRKCA,[1.0],1
Cycloeucalenol,CSNK2A1,[0.9999497],1
Fenchone,CSNK2A1,[0.99992883],1
Cycloeucalenone,CSNK2A1,[0.999928],1
Momordenol,CSNK2A1,[0.9999192],1
B-sitosterol,CSNK2A1,[0.99990654],1
Campesterol,CSNK2A1,[0.99990654],1
Beta sitosterol,CSNK2A1,[0.99990654],1
24-isopropyl cholesterol,CSNK2A1,[0.99990654],1
Momordicine 1,CSNK2A1,[0.9998989],1
Cycloarthenol,CSNK2A1,[0.99989605],1
"(3beta,23e)-3-hydroxy-27-norcycloart-23-en-25-one",CSNK2A1,[0.99976605],1
Cucurbitane,CSNK2A1,[0.99972516],1
Diosgenin,"CSNK2A1,PRKCA","[0.9992392,0.67388093]",2
Gibberelins,CSNK2A1,[0.9990947],1
Auxins,EGFR,[0.99888414],1
Naringin,"PRKCA,EGFR","[0.99882466,0.5928809]",2
Stigmasterol-3-o-glucoside,"CSNK2A1,PRKCA","[0.9980564,0.6010876]",2
Rhamnetin,PRKCA,[0.997912],1
Ligan library pare,"CSNK2A1,PRKCA","[0.9978666,0.60761064]",2
Charantin,"CSNK2A1,PRKCA","[0.9978666,0.60761064]",2
Cucurbitacin g/h,CSNK2A1,[0.99745303],1
Cucurbitacin r,CSNK2A1,[0.9973814],1
Cucurbitacin i,CSNK2A1,[0.9970439],1
Cucurbitacin j,CSNK2A1,[0.9969207],1
Cucurbitacin k,CSNK2A1,[0.9969207],1
Cucurbitacin l,CSNK2A1,[0.99681574],1
Cucurbitacin d,CSNK2A1,[0.9966993],1
Epi-friedelanol,PRKCA,[0.9965101],1
Cucurbitacin a,CSNK2A1,[0.996323],1
Cucurbitacin e,CSNK2A1,[0.9955401],1
Hesperidine,PRKCA,[0.9951526],1
Cucurbitacin b,CSNK2A1,[0.9951072],1
Epicathecin 3-o-gallate,PRKCA,[0.994825],1
Camphene,CSNK2A1,[0.99481356],1
Epigallocathecin 3-o-gallate,PRKCA,[0.9947917],1
Corilagin,PRKCA,[0.9943479],1
Goyaglycoside c,"CSNK2A1,PRKCA","[0.9933693,0.82580936]",2
Goyaglycoside a,"CSNK2A1,PRKCA","[0.99323684,0.82517236]",2
Cucurbitacin c,CSNK2A1,[0.9932156],1
Cucurbitacin s,CSNK2A1,[0.9932098],1
A-bergamoten,CSNK2A1,[0.99072355],1
Betulinic acid,CSNK2A1,[0.9902418],1
A-pinene,CSNK2A1,[0.98985773],1
Goyaglycoside h,CSNK2A1,[0.9894623],1
Cucurbitacin p,CSNK2A1,[0.9893622],1
Furosin,PRKCA,[0.9891677],1
Goyaglycoside f,"CSNK2A1,PRKCA","[0.98675925,0.7402675]",2
Glucobrassicin,EGFR,[0.986698],1
Ruberythric acid,PRKCA,[0.9862555],1
Cucurbitacin f,CSNK2A1,[0.98603004],1
Cucurbitacin o,CSNK2A1,[0.98603004],1
Nirurin,PRKCA,[0.9858381],1
Erythrodiol,PRKCA,[0.98580533],1
Goyaglycoside g,"CSNK2A1,PRKCA","[0.9855009,0.883361]",2
Goyaglycoside e,"CSNK2A1,PRKCA","[0.9855009,0.883361]",2
B-salinene,CSNK2A1,[0.9847472],1
Repandusinic acid,PRKCA,[0.9840105],1
A-cadinol,CSNK2A1,[0.9820302],1
D-cadinene,CSNK2A1,[0.9815383],1
A-cadinene,CSNK2A1,[0.9815383],1
A-muurolene,CSNK2A1,[0.9815383],1
Cucurbitacin q,CSNK2A1,[0.98091114],1
Momordicinin,PRKCA,[0.98057723],1
Friedelin,PRKCA,[0.9805633],1
A-copaene,CSNK2A1,[0.9799519],1
Ylangene,CSNK2A1,[0.9799519],1
Cadalene,CSNK2A1,[0.97985923],1
Cis calamenene,CSNK2A1,[0.97914267],1
A-calacorene,CSNK2A1,[0.97914267],1
"(+)-2,3-Dihydro-9-hydroxy",PRKCA,[0.97802013],1
Tetrahydroxyflavone,PRKCA,[0.9765869],1
Y-cardinene,CSNK2A1,[0.9760442],1
8-hydroxy-8-methoxy-2-methyl-anthraquinone,CSNK2A1,[0.9726648],1
A-selinene,CSNK2A1,[0.970022],1
Cyanidin-3,PRKCA,[0.9659431],1
Spathulenol,AR,[0.96377647],1
Petunidin-3-gentiobioside,PRKCA,[0.961753],1
Malvidin-3-laminaribioside,PRKCA,[0.961753],1
Aloemodin w-acetate,CSNK2A1,[0.96103543],1
Cyanidin diglycoside,PRKCA,[0.95830697],1
Delphinidin-3-gentiobioside,PRKCA,[0.9580464],1
Delphinidin 3-sambubioside,PRKCA,[0.9580464],1
Quercetin-3,PRKCA,[0.9570762],1
Ledol,AR,[0.9561039],1
Proanthocyanidin a2,PRKCA,[0.95598996],1
Geranin b,PRKCA,[0.95598996],1
Tinocordiside,CSNK2A1,[0.9547524],1
Peonidin-3,PRKCA,[0.95087],1
Mangiferin,PRKCA,[0.95046586],1
Cyanidin 3-xyloglucoside,PRKCA,[0.94570655],1
Cyanidin-3-sambubioside,PRKCA,[0.94570655],1
Geranin a,PRKCA,[0.94531256],1
Morenone 2,CSNK2A1,[0.9394731],1
arabinopyrano,PRKCA,[0.93564546],1
Vicenin,PRKCA,[0.93564546],1
Amritoside,PRKCA,[0.93115515],1
Cuminaldehyde,EGFR,[0.92375034],1
Ermanin,EGFR,[0.92299443],1
Rutin,PRKCA,[0.91847175],1
Ligan library brotowali,CSNK2A1,[0.9180451],1
11-hydroxymutakone,CSNK2A1,[0.9180451],1
Morindin,PRKCA,[0.91700745],1
Delphinidin-3-glucoside,PRKCA,[0.9046714],1
P-cymene,EGFR,[0.9044299],1
